household_type,income_group,year,federal_taxes,individual_inc_tax,payroll_taxes,corporate_inc_tax,excise_taxes
all_households,lowest_quintile,1999,3000,-700,2800,300,600
all_households,lowest_quintile,2000,2800,-600,2600,300,500
all_households,lowest_quintile,2001,2300,-1000,2600,200,500
all_households,lowest_quintile,2002,2200,-1000,2500,200,500
all_households,lowest_quintile,2003,2100,-1100,2500,200,500
all_households,lowest_quintile,2004,2100,-1100,2400,300,400
all_households,lowest_quintile,2005,2200,-1200,2600,300,500
all_households,lowest_quintile,2006,2400,-1300,2800,400,500
all_households,lowest_quintile,2007,2300,-1300,2900,300,400
all_households,lowest_quintile,2008,1300,-2100,2800,200,400
all_households,lowest_quintile,2009,1100,-2200,2700,200,400
all_households,lowest_quintile,2010,1300,-2100,2700,200,500
all_households,lowest_quintile,2011,1400,-1600,2400,200,500
all_households,lowest_quintile,2012,1400,-1600,2300,200,500
all_households,lowest_quintile,2013,1900,-1600,2700,300,500
all_households,lowest_quintile,2014,1900,-1600,2700,300,500
all_households,lowest_quintile,2015,2000,-1600,2900,300,500
all_households,lowest_quintile,2016,2000,-1500,2900,300,500
all_households,lowest_quintile,2017,1900,-1600,2900,200,400
all_households,lowest_quintile,2018,1700,-1900,3000,200,400
all_households,lowest_quintile,2019,2000,-1900,3200,200,400
all_households,lowest_quintile,2020,-1600,-4900,2800,200,300
all_households,lowest_quintile,2021,-1900,-5300,2900,200,300
all_households,second_quintile,1979,6500,1900,3300,700,500
all_households,second_quintile,1980,6000,2000,3100,500,400
all_households,second_quintile,1981,6300,2200,3300,400,400
all_households,second_quintile,1982,5700,1900,3200,200,400
all_households,second_quintile,1983,5600,1700,3100,300,500
all_households,second_quintile,1984,6200,1800,3400,400,500
all_households,second_quintile,1985,6100,1800,3500,300,500
all_households,second_quintile,1986,6300,1800,3600,300,500
all_households,second_quintile,1987,5800,1400,3400,500,500
all_households,second_quintile,1988,6100,1400,3600,400,500
all_households,second_quintile,1989,6100,1400,3700,400,500
all_households,second_quintile,1990,6500,1600,4000,400,500
all_households,second_quintile,1991,6300,1400,3900,400,600
all_households,second_quintile,1992,6200,1300,3900,400,600
all_households,second_quintile,1993,6200,1300,3800,500,600
all_households,second_quintile,1994,6200,1100,3900,500,700
all_households,second_quintile,1995,6600,1200,4100,500,700
all_households,second_quintile,1996,6600,1100,4200,600,700
all_households,second_quintile,1997,6900,1300,4500,500,700
all_households,second_quintile,1998,6900,1100,4700,500,700
all_households,second_quintile,1999,7200,1100,4800,500,800
all_households,second_quintile,2000,7000,1100,4800,500,700
all_households,second_quintile,2001,6300,500,4800,400,700
all_households,second_quintile,2002,5900,300,4700,300,700
all_households,second_quintile,2003,5500,-100,4600,400,700
all_households,second_quintile,2004,5800,-100,4700,500,600
all_households,second_quintile,2005,5800,-100,4700,600,600
all_households,second_quintile,2006,6100,-100,4800,700,600
all_households,second_quintile,2007,6500,100,5300,600,500
all_households,second_quintile,2008,4700,-1200,5000,400,500
all_households,second_quintile,2009,4400,-1200,4800,300,500
all_households,second_quintile,2010,4500,-1100,4700,400,500
all_households,second_quintile,2011,4500,-500,4000,400,600
all_households,second_quintile,2012,4400,-500,4000,400,600
all_households,second_quintile,2013,5400,-400,4800,500,600
all_households,second_quintile,2014,5500,-500,4900,500,600
all_households,second_quintile,2015,5800,-400,5100,500,600
all_households,second_quintile,2016,5900,-200,5100,500,600
all_households,second_quintile,2017,5900,-200,5200,300,600
all_households,second_quintile,2018,5300,-900,5300,300,600
all_households,second_quintile,2019,6000,-500,5600,300,600
all_households,second_quintile,2020,1700,-4400,5200,300,500
all_households,second_quintile,2021,1000,-5200,5400,400,400
all_households,middle_quintile,1979,12100,4800,5400,1200,700
all_households,middle_quintile,1980,11800,5000,5200,1000,600
all_households,middle_quintile,1981,12100,5200,5600,700,500
all_households,middle_quintile,1982,11100,4600,5500,500,500
all_households,middle_quintile,1983,10400,4000,5200,600,600
all_households,middle_quintile,1984,11400,4300,5800,700,700
all_households,middle_quintile,1985,11600,4300,6000,600,700
all_households,middle_quintile,1986,11800,4300,6100,700,700
all_households,middle_quintile,1987,11300,3700,6000,900,700
all_households,middle_quintile,1988,11700,3800,6300,900,700
all_households,middle_quintile,1989,11800,3900,6400,900,600
all_households,middle_quintile,1990,11800,3900,6500,800,600
all_households,middle_quintile,1991,11400,3700,6300,700,700
all_households,middle_quintile,1992,11200,3500,6200,800,800
all_households,middle_quintile,1993,11200,3500,6200,900,800
all_households,middle_quintile,1994,11300,3400,6200,900,800
all_households,middle_quintile,1995,11800,3500,6500,1000,800
all_households,middle_quintile,1996,11900,3600,6500,1000,800
all_households,middle_quintile,1997,12300,3800,6700,1000,800
all_households,middle_quintile,1998,12300,3600,6900,1000,800
all_households,middle_quintile,1999,12600,3600,7100,1000,900
all_households,middle_quintile,2000,12400,3600,7100,900,800
all_households,middle_quintile,2001,11800,3000,7400,600,800
all_households,middle_quintile,2002,11000,2600,7000,600,800
all_households,middle_quintile,2003,10500,2100,6900,700,800
all_households,middle_quintile,2004,10900,2200,7100,800,800
all_households,middle_quintile,2005,11400,2300,7200,1100,800
all_households,middle_quintile,2006,11500,2400,7200,1200,700
all_households,middle_quintile,2007,11900,2700,7600,1100,600
all_households,middle_quintile,2008,9700,1100,7300,600,600
all_households,middle_quintile,2009,9100,1100,6900,500,600
all_households,middle_quintile,2010,9300,1300,6800,600,600
all_households,middle_quintile,2011,9000,1900,5800,600,700
all_households,middle_quintile,2012,9200,2000,5800,700,700
all_households,middle_quintile,2013,10500,2100,6900,800,700
all_households,middle_quintile,2014,10700,2100,7000,800,800
all_households,middle_quintile,2015,11200,2300,7300,800,800
all_households,middle_quintile,2016,11300,2400,7400,800,700
all_households,middle_quintile,2017,11300,2600,7500,600,700
all_households,middle_quintile,2018,10600,1700,7600,600,700
all_households,middle_quintile,2019,11300,2100,8000,500,700
all_households,middle_quintile,2020,7000,-1900,7800,600,600
all_households,middle_quintile,2021,6700,-2300,7900,600,500
all_households,fourth_quintile,1979,18400,8600,7100,1900,800
all_households,fourth_quintile,1980,17900,8900,6900,1500,700
all_households,fourth_quintile,1981,18400,9200,7400,1200,600
all_households,fourth_quintile,1982,16900,8200,7300,800,600
all_households,fourth_quintile,1983,16500,7500,7300,1000,700
all_households,fourth_quintile,1984,17400,7600,7800,1200,800
all_households,fourth_quintile,1985,17600,7600,8100,1100,800
all_households,fourth_quintile,1986,18300,7800,8500,1100,800
all_households,fourth_quintile,1987,18300,7300,8600,1500,800
all_households,fourth_quintile,1988,18700,7400,8900,1500,800
all_households,fourth_quintile,1989,18800,7600,8900,1500,800
all_households,fourth_quintile,1990,18600,7400,9000,1300,800
all_households,fourth_quintile,1991,18100,7100,8800,1200,900
all_households,fourth_quintile,1992,18100,7000,8900,1300,900
all_households,fourth_quintile,1993,18100,6900,8900,1500,900
all_households,fourth_quintile,1994,18500,6900,9000,1600,1000
all_households,fourth_quintile,1995,18900,7000,9200,1700,1000
all_households,fourth_quintile,1996,19400,7300,9400,1700,900
all_households,fourth_quintile,1997,19900,7600,9600,1700,900
all_households,fourth_quintile,1998,20900,8000,10300,1600,1000
all_households,fourth_quintile,1999,21800,8400,10800,1600,1100
all_households,fourth_quintile,2000,22400,8700,11100,1600,1000
all_households,fourth_quintile,2001,20400,7600,10700,1100,1000
all_households,fourth_quintile,2002,19200,7000,10300,1000,1000
all_households,fourth_quintile,2003,18700,6100,10400,1200,900
all_households,fourth_quintile,2004,19400,6400,10600,1500,1000
all_households,fourth_quintile,2005,20100,6500,10700,2000,900
all_households,fourth_quintile,2006,20500,6800,10700,2100,900
all_households,fourth_quintile,2007,20800,7100,11000,1900,800
all_households,fourth_quintile,2008,18000,5400,10800,1100,700
all_households,fourth_quintile,2009,16900,5200,10200,900,700
all_households,fourth_quintile,2010,17300,5400,10000,1100,700
all_households,fourth_quintile,2011,17000,6400,8700,1100,800
all_households,fourth_quintile,2012,17500,6700,8800,1200,800
all_households,fourth_quintile,2013,19600,7000,10400,1400,800
all_households,fourth_quintile,2014,20300,7200,10700,1500,900
all_households,fourth_quintile,2015,21200,7700,11100,1500,1000
all_households,fourth_quintile,2016,21100,7800,11000,1400,900
all_households,fourth_quintile,2017,21400,8300,11300,1000,800
all_households,fourth_quintile,2018,20400,7000,11500,1000,900
all_households,fourth_quintile,2019,21200,7500,11900,1000,900
all_households,fourth_quintile,2020,17200,3500,11900,1000,800
all_households,fourth_quintile,2021,18000,4100,12200,1100,600
all_households,highest_quintile,1979,43600,25500,8600,8300,1200
all_households,highest_quintile,1980,41800,25800,8500,6500,1000
all_households,highest_quintile,1981,40800,25700,9100,5200,900
all_households,highest_quintile,1982,37200,23700,9400,3100,900
all_households,highest_quintile,1983,37600,22600,9700,4200,1100
all_households,highest_quintile,1984,41000,24200,10700,5000,1200
all_households,highest_quintile,1985,41500,24600,11000,4700,1200
all_households,highest_quintile,1986,46300,28100,11800,5200,1300
all_households,highest_quintile,1987,48100,28200,12400,6300,1300
all_households,highest_quintile,1988,51300,30300,13000,6700,1300
all_households,highest_quintile,1989,50300,29700,13000,6500,1200
all_households,highest_quintile,1990,48800,28400,13200,6000,1200
all_households,highest_quintile,1991,47600,27300,13700,5300,1300
all_households,highest_quintile,1992,50000,28900,13800,6000,1300
all_households,highest_quintile,1993,52300,29700,14100,7100,1400
all_households,highest_quintile,1994,54700,30700,14800,7700,1500
all_households,highest_quintile,1995,58200,33200,15000,8600,1500
all_households,highest_quintile,1996,61900,36300,15100,9200,1400
all_households,highest_quintile,1997,65700,39300,15400,9600,1400
all_households,highest_quintile,1998,69600,42600,16200,9300,1500
all_households,highest_quintile,1999,75300,46900,17000,9700,1700
all_households,highest_quintile,2000,78800,50200,17500,9600,1600
all_households,highest_quintile,2001,68700,42800,17900,6500,1400
all_households,highest_quintile,2002,63500,38700,17600,5800,1400
all_households,highest_quintile,2003,63000,35500,17900,8200,1400
all_households,highest_quintile,2004,69500,39200,18100,10700,1500
all_households,highest_quintile,2005,76900,43200,18000,14300,1400
all_households,highest_quintile,2006,80200,45100,18100,15600,1300
all_households,highest_quintile,2007,80700,47600,18400,13500,1200
all_households,highest_quintile,2008,69700,41700,18700,8000,1200
all_households,highest_quintile,2009,61800,36100,18600,5900,1100
all_households,highest_quintile,2010,66700,38800,18200,8500,1100
all_households,highest_quintile,2011,66400,40500,16300,8400,1200
all_households,highest_quintile,2012,73100,45100,16400,10300,1300
all_households,highest_quintile,2013,76900,45900,19000,10700,1300
all_households,highest_quintile,2014,82700,50100,19200,11900,1400
all_households,highest_quintile,2015,85400,52400,20000,11500,1500
all_households,highest_quintile,2016,83700,51300,20100,10900,1400
all_households,highest_quintile,2017,85700,55400,20800,8200,1300
all_households,highest_quintile,2018,82600,52400,20900,7800,1400
all_households,highest_quintile,2019,83700,53300,21600,7500,1400
all_households,highest_quintile,2020,88100,56200,22800,7900,1200
all_households,highest_quintile,2021,102100,69300,22300,9400,1100
all_households,percentiles_81_90,1979,26200,13600,8600,3000,900
all_households,percentiles_81_90,1980,25900,14200,8400,2400,800
all_households,percentiles_81_90,1981,26100,14500,9000,1900,700
all_households,percentiles_81_90,1982,24000,13100,8900,1200,700
all_households,percentiles_81_90,1983,23500,11900,9200,1500,900
all_households,percentiles_81_90,1984,25000,12200,9900,1900,1000
all_households,percentiles_81_90,1985,24800,12100,10200,1600,900
all_households,percentiles_81_90,1986,26500,12800,11000,1700,900
all_households,percentiles_81_90,1987,27600,12900,11500,2300,1000
all_households,percentiles_81_90,1988,28500,13200,12200,2200,1000
all_households,percentiles_81_90,1989,28700,13500,12100,2200,1000
all_households,percentiles_81_90,1990,28200,13100,12200,2000,900
all_households,percentiles_81_90,1991,27800,12800,12100,1900,1000
all_households,percentiles_81_90,1992,27800,12600,12200,1900,1100
all_households,percentiles_81_90,1993,28300,12600,12400,2300,1100
all_households,percentiles_81_90,1994,29200,13000,12600,2400,1200
all_households,percentiles_81_90,1995,30300,13600,12800,2700,1200
all_households,percentiles_81_90,1996,30600,13900,12700,2900,1100
all_households,percentiles_81_90,1997,31600,14600,13100,2900,1100
all_households,percentiles_81_90,1998,32900,15300,13700,2700,1200
all_households,percentiles_81_90,1999,34600,16300,14200,2700,1300
all_households,percentiles_81_90,2000,35300,16900,14500,2700,1200
all_households,percentiles_81_90,2001,33100,15300,14800,1800,1200
all_households,percentiles_81_90,2002,31300,14300,14300,1600,1100
all_households,percentiles_81_90,2003,30500,12800,14600,2100,1100
all_households,percentiles_81_90,2004,31900,13400,14900,2500,1100
all_households,percentiles_81_90,2005,32800,13600,14800,3300,1100
all_households,percentiles_81_90,2006,33800,14100,15000,3700,1000
all_households,percentiles_81_90,2007,33900,14600,15200,3200,1000
all_households,percentiles_81_90,2008,30700,12800,15100,1900,900
all_households,percentiles_81_90,2009,29300,12200,14800,1400,800
all_households,percentiles_81_90,2010,30000,12800,14500,1900,800
all_households,percentiles_81_90,2011,29800,14200,12700,1900,900
all_households,percentiles_81_90,2012,30400,14600,12800,2100,1000
all_households,percentiles_81_90,2013,33400,15100,14800,2600,1000
all_households,percentiles_81_90,2014,34700,15700,15100,2700,1100
all_households,percentiles_81_90,2015,36100,16700,15600,2600,1200
all_households,percentiles_81_90,2016,36100,16900,15700,2500,1100
all_households,percentiles_81_90,2017,36800,17700,16200,1900,1000
all_households,percentiles_81_90,2018,35600,16300,16500,1800,1100
all_households,percentiles_81_90,2019,36500,16800,16900,1700,1100
all_households,percentiles_81_90,2020,33800,13600,17500,1800,1000
all_households,percentiles_81_90,2021,35800,15700,17300,2000,800
all_households,percentiles_91_95,1979,34300,19300,9300,4500,1100
all_households,percentiles_91_95,1980,33800,20000,9000,3900,900
all_households,percentiles_91_95,1981,33900,20400,9700,3000,800
all_households,percentiles_91_95,1982,30600,18000,10000,1700,800
all_households,percentiles_91_95,1983,30300,16700,10200,2400,1000
all_households,percentiles_91_95,1984,33600,18000,11500,2900,1200
all_households,percentiles_91_95,1985,33600,18200,11800,2600,1100
all_households,percentiles_91_95,1986,35500,19100,12600,2700,1100
all_households,percentiles_91_95,1987,38000,20100,13200,3500,1200
all_households,percentiles_91_95,1988,38300,19900,13600,3600,1200
all_households,percentiles_91_95,1989,38600,20400,13500,3600,1100
all_households,percentiles_91_95,1990,37800,19500,13700,3500,1100
all_households,percentiles_91_95,1991,37400,19000,14200,3000,1200
all_households,percentiles_91_95,1992,37900,19200,14100,3300,1300
all_households,percentiles_91_95,1993,38600,19100,14200,3900,1300
all_households,percentiles_91_95,1994,40400,20100,14900,4000,1400
all_households,percentiles_91_95,1995,41600,20700,14900,4600,1400
all_households,percentiles_91_95,1996,43400,22100,15300,4800,1300
all_households,percentiles_91_95,1997,45100,23400,15400,5000,1300
all_households,percentiles_91_95,1998,47100,25000,16200,4600,1400
all_households,percentiles_91_95,1999,49700,26600,16800,4700,1500
all_households,percentiles_91_95,2000,51200,27900,17400,4500,1400
all_households,percentiles_91_95,2001,47900,25400,18200,2900,1300
all_households,percentiles_91_95,2002,45700,23900,17900,2600,1300
all_households,percentiles_91_95,2003,44200,21400,18100,3400,1200
all_households,percentiles_91_95,2004,46200,22300,18300,4300,1300
all_households,percentiles_91_95,2005,48400,23300,18200,5600,1300
all_households,percentiles_91_95,2006,49800,24100,18200,6300,1200
all_households,percentiles_91_95,2007,50200,25200,18400,5500,1100
all_households,percentiles_91_95,2008,46300,23300,18900,3100,1000
all_households,percentiles_91_95,2009,44100,21800,18900,2400,1000
all_households,percentiles_91_95,2010,45400,22900,18400,3100,1000
all_households,percentiles_91_95,2011,45000,24500,16300,3100,1100
all_households,percentiles_91_95,2012,46800,25600,16600,3500,1100
all_households,percentiles_91_95,2013,50900,26100,19100,4400,1200
all_households,percentiles_91_95,2014,52700,27400,19200,4800,1300
all_households,percentiles_91_95,2015,54900,29000,19900,4600,1400
all_households,percentiles_91_95,2016,55400,29600,20100,4500,1300
all_households,percentiles_91_95,2017,56300,31000,20800,3300,1200
all_households,percentiles_91_95,2018,54300,28900,20900,3300,1300
all_households,percentiles_91_95,2019,56200,30200,21600,3100,1300
all_households,percentiles_91_95,2020,56100,28900,22800,3400,1100
all_households,percentiles_91_95,2021,59000,32400,21900,3700,1000
all_households,percentiles_96_99,1979,54600,34100,8500,10600,1400
all_households,percentiles_96_99,1980,52500,34400,8500,8400,1200
all_households,percentiles_96_99,1981,51100,34300,9100,6600,1100
all_households,percentiles_96_99,1982,46000,31500,9900,3600,1100
all_households,percentiles_96_99,1983,45400,28800,10400,4900,1200
all_households,percentiles_96_99,1984,49300,30700,11500,5700,1400
all_households,percentiles_96_99,1985,50300,31300,12100,5500,1400
all_households,percentiles_96_99,1986,54800,34800,12700,5800,1500
all_households,percentiles_96_99,1987,59800,36800,13400,8100,1500
all_households,percentiles_96_99,1988,60700,37200,14000,7900,1500
all_households,percentiles_96_99,1989,61400,38100,14200,7800,1400
all_households,percentiles_96_99,1990,59300,36300,14600,7100,1400
all_households,percentiles_96_99,1991,58400,34800,15700,6400,1500
all_households,percentiles_96_99,1992,60800,35900,16100,7200,1600
all_households,percentiles_96_99,1993,63100,36500,16800,8200,1700
all_households,percentiles_96_99,1994,66100,38300,17500,8500,1700
all_households,percentiles_96_99,1995,70800,41700,17600,9800,1700
all_households,percentiles_96_99,1996,74500,45000,17600,10200,1600
all_households,percentiles_96_99,1997,79700,49100,18200,10800,1700
all_households,percentiles_96_99,1998,83600,52900,19000,10000,1700
all_households,percentiles_96_99,1999,89900,57600,19900,10400,2000
all_households,percentiles_96_99,2000,92000,59800,20500,9900,1800
all_households,percentiles_96_99,2001,82900,53400,21200,6600,1700
all_households,percentiles_96_99,2002,77700,49000,21300,5800,1600
all_households,percentiles_96_99,2003,77000,45400,22200,7900,1600
all_households,percentiles_96_99,2004,83000,49200,21900,10100,1700
all_households,percentiles_96_99,2005,91000,54000,21600,13700,1700
all_households,percentiles_96_99,2006,94100,55900,21700,14900,1600
all_households,percentiles_96_99,2007,94900,58700,21900,12900,1400
all_households,percentiles_96_99,2008,85100,53800,22800,7000,1400
all_households,percentiles_96_99,2009,77900,47900,23500,5300,1200
all_households,percentiles_96_99,2010,82300,51000,23000,7000,1300
all_households,percentiles_96_99,2011,83100,54000,20600,7100,1400
all_households,percentiles_96_99,2012,88500,58100,20600,8300,1500
all_households,percentiles_96_99,2013,94700,58700,24000,10500,1500
all_households,percentiles_96_99,2014,99800,62400,24000,11700,1700
all_households,percentiles_96_99,2015,104000,66300,24800,11100,1800
all_households,percentiles_96_99,2016,103900,66600,25100,10500,1700
all_households,percentiles_96_99,2017,106400,70500,26100,8300,1500
all_households,percentiles_96_99,2018,101500,65800,26200,7900,1600
all_households,percentiles_96_99,2019,105400,68800,27300,7700,1600
all_households,percentiles_96_99,2020,110200,71800,29200,7800,1400
all_households,percentiles_96_99,2021,122300,84000,27800,9200,1300
all_households,top_1_percent,1979,212000,135500,5600,68000,2900
all_households,top_1_percent,1980,190900,130900,6200,51400,2400
all_households,top_1_percent,1981,173700,123300,7200,41000,2200
all_households,top_1_percent,1982,162400,123500,9500,27300,2100
all_households,top_1_percent,1983,179500,130900,10300,35500,2900
all_households,top_1_percent,1984,198600,142600,10500,42300,3100
all_households,top_1_percent,1985,208300,151900,11100,41800,3500
all_households,top_1_percent,1986,256400,192000,11100,49200,4200
all_households,top_1_percent,1987,253600,183900,13200,53100,3400
all_households,top_1_percent,1988,305100,224900,14400,62200,3700
all_households,top_1_percent,1989,276600,201600,14600,57300,3000
all_households,top_1_percent,1990,261800,190900,14900,53100,2900
all_households,top_1_percent,1991,246600,178800,18700,45900,3100
all_households,top_1_percent,1992,285000,208200,18500,55200,3200
all_households,top_1_percent,1993,305900,218400,19200,64800,3500
all_households,top_1_percent,1994,324300,222800,25600,72500,3400
all_households,top_1_percent,1995,367500,256700,25600,81500,3600
all_households,top_1_percent,1996,407300,290100,26400,87400,3400
all_households,top_1_percent,1997,456100,328500,28100,95800,3700
all_households,top_1_percent,1998,497500,365400,30000,98200,3900
all_households,top_1_percent,1999,543900,407200,32800,99400,4500
all_households,top_1_percent,2000,593300,452400,35400,101200,4200
all_households,top_1_percent,2001,469300,360100,34400,71200,3500
all_households,top_1_percent,2002,413900,313600,32800,64100,3400
all_households,top_1_percent,2003,420800,290800,32700,93500,3700
all_households,top_1_percent,2004,498600,335700,33400,125000,4400
all_households,top_1_percent,2005,607200,397600,34400,170300,5000
all_households,top_1_percent,2006,649700,423200,35200,186900,4300
all_households,top_1_percent,2007,647600,446700,36500,161000,3400
all_households,top_1_percent,2008,521100,379300,37200,100600,4000
all_households,top_1_percent,2009,417100,305200,36200,72600,3000
all_households,top_1_percent,2010,487800,336900,36400,110700,3800
all_households,top_1_percent,2011,485300,338800,34500,108500,3500
all_households,top_1_percent,2012,591000,411800,35500,139500,4200
all_households,top_1_percent,2013,582000,409900,41800,126200,4100
all_households,top_1_percent,2014,655900,466600,41700,143800,3900
all_households,top_1_percent,2015,675100,484900,45300,141100,3900
all_households,top_1_percent,2016,640700,458800,44800,133100,4000
all_households,top_1_percent,2017,657700,508500,46500,99000,3700
all_households,top_1_percent,2018,627800,485800,45300,92100,4700
all_households,top_1_percent,2019,615300,477400,46400,87300,4200
all_households,top_1_percent,2020,704100,557600,50200,92200,4100
all_households,top_1_percent,2021,908000,738100,52100,113300,4500
hh_with_children,all_quintiles,1979,18100,8700,6500,2100,800
hh_with_children,all_quintiles,1980,17500,8900,6300,1600,600
hh_with_children,all_quintiles,1981,17900,9100,6900,1300,600
hh_with_children,all_quintiles,1982,16400,8100,6900,800,600
hh_with_children,all_quintiles,1983,16400,7700,6900,1000,700
hh_with_children,all_quintiles,1984,18100,8200,7700,1200,900
hh_with_children,all_quintiles,1985,17800,8000,7900,1100,800
hh_with_children,all_quintiles,1986,19300,9000,8200,1300,800
hh_with_children,all_quintiles,1987,19100,8600,8200,1500,800
hh_with_children,all_quintiles,1988,19700,8700,8600,1500,800
hh_with_children,all_quintiles,1989,20000,8900,8800,1500,800
hh_with_children,all_quintiles,1990,19700,8500,9000,1400,800
hh_with_children,all_quintiles,1991,19600,8300,9100,1300,900
hh_with_children,all_quintiles,1992,19700,8300,9100,1400,900
hh_with_children,all_quintiles,1993,20600,8800,9200,1700,1000
hh_with_children,all_quintiles,1994,21100,8800,9500,1800,1000
hh_with_children,all_quintiles,1995,22700,9700,9900,2100,1000
hh_with_children,all_quintiles,1996,22800,9900,9900,2100,900
hh_with_children,all_quintiles,1997,24300,10800,10300,2300,1000
hh_with_children,all_quintiles,1998,25400,11300,10900,2200,1000
hh_with_children,all_quintiles,1999,27600,12800,11300,2400,1100
hh_with_children,all_quintiles,2000,29200,14100,11600,2500,1100
hh_with_children,all_quintiles,2001,25600,11400,11500,1700,1000
hh_with_children,all_quintiles,2002,24100,10300,11300,1500,1000
hh_with_children,all_quintiles,2003,23100,8800,11200,2100,1000
hh_with_children,all_quintiles,2004,25000,9900,11400,2700,1000
hh_with_children,all_quintiles,2005,26500,10500,11500,3600,1000
hh_with_children,all_quintiles,2006,28100,11500,11600,4200,900
hh_with_children,all_quintiles,2007,29000,12500,12100,3700,800
hh_with_children,all_quintiles,2008,24800,9700,12100,2300,800
hh_with_children,all_quintiles,2009,22200,8100,11800,1700,700
hh_with_children,all_quintiles,2010,24300,9300,11600,2600,800
hh_with_children,all_quintiles,2011,23600,10200,10200,2400,800
hh_with_children,all_quintiles,2012,25300,11500,10200,2800,800
hh_with_children,all_quintiles,2013,28300,12300,12100,3100,900
hh_with_children,all_quintiles,2014,29900,13300,12300,3400,1000
hh_with_children,all_quintiles,2015,31800,14600,12900,3400,1000
hh_with_children,all_quintiles,2016,30800,13800,13000,3000,900
hh_with_children,all_quintiles,2017,31600,15100,13300,2300,800
hh_with_children,all_quintiles,2018,28500,12100,13500,2000,900
hh_with_children,all_quintiles,2019,30400,13300,14200,2000,900
hh_with_children,all_quintiles,2020,27600,10300,14400,2200,800
hh_with_children,all_quintiles,2021,29700,11900,14500,2600,700
hh_with_children,lowest_quintile,1979,3400,200,2300,400,400
hh_with_children,lowest_quintile,1980,3200,300,2200,300,400
hh_with_children,lowest_quintile,1981,3400,400,2400,200,300
