household_type,income_group,year,market_inc,social_insurance_benefits,inc_before_transfers_taxes,means_tested_transfers,federal_taxes,inc_after_transfers_taxes
all_households,middle_quintile,1982,52700,6400,59100,1000,11100,49100
all_households,middle_quintile,1983,50700,7000,57700,1100,10400,48400
all_households,middle_quintile,1984,54900,6600,61500,1100,11400,51200
all_households,middle_quintile,1985,55000,6600,61600,1100,11600,51200
all_households,middle_quintile,1986,55700,7100,62800,1100,11800,52100
all_households,middle_quintile,1987,55000,7300,62300,1100,11300,52200
all_households,middle_quintile,1988,55900,7000,62900,1300,11700,52500
all_households,middle_quintile,1989,56500,7000,63500,1400,11800,53200
all_households,middle_quintile,1990,56000,7500,63600,1800,11800,53500
all_households,middle_quintile,1991,54300,8000,62300,2100,11400,53000
all_households,middle_quintile,1992,53300,8700,62000,2700,11200,53500
all_households,middle_quintile,1993,53400,8800,62300,3000,11200,54000
all_households,middle_quintile,1994,53900,8800,62600,3100,11300,54400
all_households,middle_quintile,1995,55800,9000,64800,3400,11800,56500
all_households,middle_quintile,1996,56700,9100,65900,3200,11900,57200
all_households,middle_quintile,1997,58100,9100,67200,3200,12300,58200
all_households,middle_quintile,1998,60300,9500,69800,3300,12300,60800
all_households,middle_quintile,1999,62100,9800,71900,3400,12600,62700
all_households,middle_quintile,2000,61900,9700,71500,3700,12400,62800
all_households,middle_quintile,2001,63200,9500,72700,3800,11800,64700
all_households,middle_quintile,2002,60500,10200,70700,4500,11000,64200
all_households,middle_quintile,2003,60100,10500,70600,5000,10500,65100
all_households,middle_quintile,2004,62600,10100,72700,5400,10900,67100
all_households,middle_quintile,2005,64000,10300,74200,4900,11400,67800
all_households,middle_quintile,2006,64200,11100,75300,4600,11500,68400
all_households,middle_quintile,2007,67500,10800,78300,4600,11900,71000
all_households,middle_quintile,2008,64400,11700,76200,5000,9700,71500
all_households,middle_quintile,2009,61000,13400,74400,5900,9100,71200
all_households,middle_quintile,2010,59900,13500,73400,6100,9300,70200
all_households,middle_quintile,2011,59400,13500,72800,6500,9000,70300
all_households,middle_quintile,2012,59500,13500,73000,6500,9200,70300
all_households,middle_quintile,2013,61000,13100,74100,6700,10500,70300
all_households,middle_quintile,2014,62100,12900,75000,7400,10700,71700
all_households,middle_quintile,2015,64800,13300,78100,7700,11200,74600
all_households,middle_quintile,2016,65200,13600,78700,8000,11300,75500
all_households,middle_quintile,2017,66300,13600,79800,8000,11300,76500
all_households,middle_quintile,2018,67100,13700,80800,7800,10600,78000
all_households,middle_quintile,2019,70700,14400,85100,8100,11300,82000
all_households,middle_quintile,2020,69700,16000,85700,11800,7000,90500
all_households,middle_quintile,2021,70600,15000,85600,11300,6700,90200
all_households,fourth_quintile,1979,80600,4500,85100,500,18400,67300
all_households,fourth_quintile,1980,77400,5200,82600,500,17900,65200
all_households,fourth_quintile,1981,77100,5800,82900,500,18400,65000
all_households,fourth_quintile,1982,75500,6600,82000,400,16900,65500
all_households,fourth_quintile,1983,75100,6900,81900,400,16500,65800
all_households,fourth_quintile,1984,79300,6800,86100,400,17400,69000
all_households,fourth_quintile,1985,79500,7000,86500,400,17600,69300
all_households,fourth_quintile,1986,81900,7400,89300,400,18300,71400
all_households,fourth_quintile,1987,83000,7000,90000,400,18300,72200
all_households,fourth_quintile,1988,83400,7100,90600,500,18700,72300
all_households,fourth_quintile,1989,84100,7300,91400,500,18800,73100
all_households,fourth_quintile,1990,82600,7900,90500,600,18600,72600
all_households,fourth_quintile,1991,80900,8600,89500,800,18100,72200
all_households,fourth_quintile,1992,81400,8900,90300,1000,18100,73200
all_households,fourth_quintile,1993,81400,9500,90900,1100,18100,73900
all_households,fourth_quintile,1994,82600,9200,91800,1200,18500,74600
all_households,fourth_quintile,1995,84100,9600,93600,1400,18900,76100
all_households,fourth_quintile,1996,86200,10000,96200,1300,19400,78000
all_households,fourth_quintile,1997,88100,10000,98000,1300,19900,79400
all_households,fourth_quintile,1998,93500,9300,102700,1400,20900,83200
all_households,fourth_quintile,1999,97500,9000,106500,1500,21800,86200
all_households,fourth_quintile,2000,99700,8600,108300,1600,22400,87500
all_households,fourth_quintile,2001,96900,10100,107100,1600,20400,88200
all_households,fourth_quintile,2002,94000,10800,104800,2000,19200,87700
all_households,fourth_quintile,2003,95400,11100,106500,2200,18700,90000
all_households,fourth_quintile,2004,98400,11100,109500,2500,19400,92700
all_households,fourth_quintile,2005,100500,11300,111800,2300,20100,94000
all_households,fourth_quintile,2006,101800,12200,114000,2300,20500,95800
all_households,fourth_quintile,2007,104100,12700,116800,2400,20800,98500
all_households,fourth_quintile,2008,101100,13200,114400,2500,18000,98900
all_households,fourth_quintile,2009,95700,15900,111600,3200,16900,97800
all_households,fourth_quintile,2010,95000,15800,110700,3300,17300,96800
all_households,fourth_quintile,2011,95500,15400,110900,3400,17000,97200
all_households,fourth_quintile,2012,96000,15700,111600,3300,17500,97500
all_households,fourth_quintile,2013,98700,15600,114300,3300,19600,98000
all_households,fourth_quintile,2014,100800,15400,116200,3900,20300,99700
all_households,fourth_quintile,2015,104600,16100,120800,4400,21200,104000
all_households,fourth_quintile,2016,104400,16300,120700,4700,21100,104300
all_households,fourth_quintile,2017,106600,16300,122900,4600,21400,106100
all_households,fourth_quintile,2018,108900,15900,124900,4200,20400,108600
all_households,fourth_quintile,2019,112400,17200,129600,4500,21200,112900
all_households,fourth_quintile,2020,113300,18800,132100,8800,17200,123700
all_households,fourth_quintile,2021,115400,17600,133000,7700,18000,122700
all_households,highest_quintile,1979,158900,4700,163600,300,43600,120200
all_households,highest_quintile,1980,153100,5300,158400,200,41800,116900
all_households,highest_quintile,1981,151400,6100,157400,200,40800,116900
all_households,highest_quintile,1982,151200,7000,158200,200,37200,121200
all_households,highest_quintile,1983,156300,7200,163500,200,37600,126100
all_households,highest_quintile,1984,170100,7100,177200,200,41000,136400
all_households,highest_quintile,1985,172200,7200,179400,200,41500,138100
all_households,highest_quintile,1986,194300,7200,201600,200,46300,155400
all_households,highest_quintile,1987,185000,6300,191300,200,48100,143400
all_households,highest_quintile,1988,199000,6400,205400,300,51300,154400
all_households,highest_quintile,1989,197700,6900,204600,300,50300,154500
all_households,highest_quintile,1990,192200,7100,199400,400,48800,150900
all_households,highest_quintile,1991,185500,7600,193000,400,47600,145800
all_households,highest_quintile,1992,193100,8100,201200,500,50000,151700
all_households,highest_quintile,1993,192900,8300,201300,600,52300,149600
all_households,highest_quintile,1994,197000,8100,205200,600,54700,151100
all_households,highest_quintile,1995,206500,8800,215300,600,58200,157600
all_households,highest_quintile,1996,217600,9300,226900,600,61900,165600
all_households,highest_quintile,1997,231200,9800,241000,500,65700,175900
all_households,highest_quintile,1998,248600,9800,258300,600,69600,189300
all_households,highest_quintile,1999,265500,9300,274800,600,75300,200100
all_households,highest_quintile,2000,278500,9500,288100,700,78800,209900
all_households,highest_quintile,2001,253100,9500,262600,700,68700,194600
all_households,highest_quintile,2002,240200,9800,250000,800,63500,187300
all_households,highest_quintile,2003,249200,9600,258700,1000,63000,196700
all_households,highest_quintile,2004,271900,9800,281700,1000,69500,213200
all_households,highest_quintile,2005,295200,10500,305700,1000,76900,229800
all_households,highest_quintile,2006,307500,11300,318800,1000,80200,239600
all_households,highest_quintile,2007,318600,11900,330500,1100,80700,250900
all_households,highest_quintile,2008,287200,11900,299200,1000,69700,230600
all_households,highest_quintile,2009,257400,13800,271200,1300,61800,210800
all_households,highest_quintile,2010,270100,14100,284100,1300,66700,218800
all_households,highest_quintile,2011,273600,13300,286900,1300,66400,221800
all_households,highest_quintile,2012,296000,14000,310000,1300,73100,238200
all_households,highest_quintile,2013,283800,14800,298600,1200,76900,222900
all_households,highest_quintile,2014,300600,15000,315600,1500,82700,234500
all_households,highest_quintile,2015,311000,15500,326500,1800,85400,243000
all_households,highest_quintile,2016,307200,15700,322900,2100,83700,241300
all_households,highest_quintile,2017,321300,15600,336900,2000,85700,253100
all_households,highest_quintile,2018,327700,16000,343800,1600,82600,262800
all_households,highest_quintile,2019,333400,17100,350500,2000,83700,268700
all_households,highest_quintile,2020,357200,17900,375100,5100,88100,292100
all_households,highest_quintile,2021,402700,17900,420500,3600,102100,322000
all_households,percentiles_81_90,1979,107400,4300,111700,300,26200,85800
all_households,percentiles_81_90,1980,103900,4900,108800,300,25900,83200
all_households,percentiles_81_90,1981,102900,5600,108500,300,26100,82600
all_households,percentiles_81_90,1982,101400,6600,108000,200,24000,84300
all_households,percentiles_81_90,1983,102300,6700,109100,200,23500,85700
all_households,percentiles_81_90,1984,108600,7000,115500,200,25000,90800
all_households,percentiles_81_90,1985,107500,7000,114500,200,24800,89900
all_households,percentiles_81_90,1986,113300,7000,120200,300,26500,94000
all_households,percentiles_81_90,1987,116800,5700,122500,200,27600,95100
all_households,percentiles_81_90,1988,119300,5400,124700,300,28500,96400
all_households,percentiles_81_90,1989,120300,6100,126400,300,28700,98000
all_households,percentiles_81_90,1990,118300,6200,124500,400,28200,96700
all_households,percentiles_81_90,1991,116500,6900,123400,400,27800,96100
all_households,percentiles_81_90,1992,117000,7400,124500,600,27800,97200
all_households,percentiles_81_90,1993,119000,7300,126300,800,28300,98700
all_households,percentiles_81_90,1994,120700,7200,127900,700,29200,99400
all_households,percentiles_81_90,1995,124200,7900,132200,700,30300,102500
all_households,percentiles_81_90,1996,125600,8600,134200,700,30600,104300
all_households,percentiles_81_90,1997,128300,9300,137600,700,31600,106600
all_households,percentiles_81_90,1998,134500,9500,144000,700,32900,111800
all_households,percentiles_81_90,1999,140200,9200,149500,700,34600,115600
all_households,percentiles_81_90,2000,143100,9300,152400,800,35300,117900
all_households,percentiles_81_90,2001,141200,9600,150800,900,33100,118600
all_households,percentiles_81_90,2002,138000,10200,148200,1100,31300,117900
all_households,percentiles_81_90,2003,141000,9700,150700,1200,30500,121400
all_households,percentiles_81_90,2004,146100,10100,156200,1300,31900,125600
all_households,percentiles_81_90,2005,149200,10500,159700,1200,32800,128000
all_households,percentiles_81_90,2006,152300,11300,163600,1300,33800,131000
all_households,percentiles_81_90,2007,154700,11700,166500,1400,33900,133900
all_households,percentiles_81_90,2008,150900,12200,163200,1300,30700,133700
all_households,percentiles_81_90,2009,144800,14500,159200,1700,29300,131600
all_households,percentiles_81_90,2010,144700,14700,159400,1600,30000,131000
all_households,percentiles_81_90,2011,147400,14000,161400,1600,29800,133300
all_households,percentiles_81_90,2012,147700,14600,162300,1700,30400,133700
all_households,percentiles_81_90,2013,150000,15400,165400,1500,33400,133400
all_households,percentiles_81_90,2014,154000,15300,169400,1900,34700,136600
all_households,percentiles_81_90,2015,159200,15900,175100,2300,36100,141300
all_households,percentiles_81_90,2016,160000,16200,176200,2600,36100,142700
all_households,percentiles_81_90,2017,164400,15800,180200,2500,36800,145900
all_households,percentiles_81_90,2018,167600,16200,183800,2000,35600,150200
all_households,percentiles_81_90,2019,171900,17800,189700,2500,36500,155700
all_households,percentiles_81_90,2020,176300,19000,195400,6500,33800,168000
all_households,percentiles_81_90,2021,179600,18600,198200,4400,35800,166800
all_households,percentiles_91_95,1979,134700,4500,139200,200,34300,105200
all_households,percentiles_91_95,1980,130300,5600,135900,200,33800,102300
all_households,percentiles_91_95,1981,129100,6200,135300,200,33900,101500
all_households,percentiles_91_95,1982,127500,6800,134300,200,30600,103900
all_households,percentiles_91_95,1983,129300,7500,136800,100,30300,106700
all_households,percentiles_91_95,1984,143000,6500,149500,200,33600,116100
all_households,percentiles_91_95,1985,141900,6600,148500,200,33600,115100
all_households,percentiles_91_95,1986,149300,6600,155800,200,35500,120500
all_households,percentiles_91_95,1987,152700,6000,158700,200,38000,120900
all_households,percentiles_91_95,1988,154700,6700,161400,200,38300,123400
all_households,percentiles_91_95,1989,156800,7100,163900,200,38600,125500
all_households,percentiles_91_95,1990,153300,7600,161000,400,37800,123500
all_households,percentiles_91_95,1991,151200,7700,158900,400,37400,121900
all_households,percentiles_91_95,1992,154600,8300,162900,600,37900,125600
all_households,percentiles_91_95,1993,154400,9300,163600,400,38600,125500
all_households,percentiles_91_95,1994,158800,8400,167300,600,40400,127400
all_households,percentiles_91_95,1995,161400,9500,170900,500,41600,129800
all_households,percentiles_91_95,1996,167300,9900,177200,600,43400,134300
all_households,percentiles_91_95,1997,173300,10100,183400,500,45100,138700
all_households,percentiles_91_95,1998,181800,9800,191700,500,47100,145000
all_households,percentiles_91_95,1999,190000,9100,199200,500,49700,150000
all_households,percentiles_91_95,2000,196000,9200,205200,600,51200,154600
all_households,percentiles_91_95,2001,190200,9100,199300,600,47900,152000
all_households,percentiles_91_95,2002,187600,9200,196800,700,45700,151800
all_households,percentiles_91_95,2003,190800,9300,200100,900,44200,156800
all_households,percentiles_91_95,2004,198100,9400,207500,700,46200,162000
all_households,percentiles_91_95,2005,205400,10500,215800,900,48400,168400
all_households,percentiles_91_95,2006,210200,11300,221500,900,49800,172600
all_households,percentiles_91_95,2007,214700,12100,226700,1000,50200,177500
all_households,percentiles_91_95,2008,207200,11800,218900,900,46300,173600
all_households,percentiles_91_95,2009,199600,13600,213100,1100,44100,170200
all_households,percentiles_91_95,2010,202100,13900,216000,1300,45400,171900
all_households,percentiles_91_95,2011,204600,13100,217600,1000,45000,173700
all_households,percentiles_91_95,2012,208300,14000,222300,1100,46800,176600
all_households,percentiles_91_95,2013,212600,14600,227300,1000,50900,177400
all_households,percentiles_91_95,2014,216600,15200,231800,1300,52700,180400
all_households,percentiles_91_95,2015,224900,15600,240500,1600,54900,187200
all_households,percentiles_91_95,2016,227600,15500,243100,1800,55400,189500
all_households,percentiles_91_95,2017,233200,15400,248700,1500,56300,193900
all_households,percentiles_91_95,2018,239600,16200,255800,1200,54300,202700
all_households,percentiles_91_95,2019,246700,17000,263600,1800,56200,209300
all_households,percentiles_91_95,2020,255200,17800,273000,4300,56100,221200
all_households,percentiles_91_95,2021,261900,17900,279800,3300,59000,224200
all_households,percentiles_96_99,1979,197300,5300,202600,200,54600,148300
all_households,percentiles_96_99,1980,189200,5900,195100,200,52500,142800
all_households,percentiles_96_99,1981,185500,6800,192300,200,51100,141400
all_households,percentiles_96_99,1982,183900,8000,191900,200,46000,146000
all_households,percentiles_96_99,1983,190400,7600,198100,200,45400,152900
all_households,percentiles_96_99,1984,206400,7500,213900,200,49300,164800
all_households,percentiles_96_99,1985,209500,7800,217300,200,50300,167200
all_households,percentiles_96_99,1986,230100,7900,237900,200,54800,183300
all_households,percentiles_96_99,1987,228000,7700,235700,200,59800,176100
all_households,percentiles_96_99,1988,235300,7900,243200,300,60700,182900
all_households,percentiles_96_99,1989,240000,8000,248000,200,61400,186800
all_households,percentiles_96_99,1990,232400,8100,240500,300,59300,181500
all_households,percentiles_96_99,1991,226400,8600,235100,300,58400,176900
all_households,percentiles_96_99,1992,234500,9200,243700,300,60800,183200
all_households,percentiles_96_99,1993,235400,9200,244600,300,63100,181700
all_households,percentiles_96_99,1994,241300,9700,251000,500,66100,185400
all_households,percentiles_96_99,1995,254500,9400,263900,400,70800,193500
all_households,percentiles_96_99,1996,265300,10200,275500,400,74500,201400
all_households,percentiles_96_99,1997,282800,10700,293500,400,79700,214200
all_households,percentiles_96_99,1998,299100,10100,309200,500,83600,226100
all_households,percentiles_96_99,1999,316000,9600,325500,400,89900,236000
all_households,percentiles_96_99,2000,323600,10300,333900,400,92000,242300
all_households,percentiles_96_99,2001,305400,9400,314800,600,82900,232500
all_households,percentiles_96_99,2002,294100,9300,303400,500,77700,226100
all_households,percentiles_96_99,2003,303200,9400,312600,600,77000,236200
all_households,percentiles_96_99,2004,322300,9500,331800,600,83000,249500
all_households,percentiles_96_99,2005,346300,10300,356600,700,91000,266300
all_households,percentiles_96_99,2006,356300,11200,367500,600,94100,274000
all_households,percentiles_96_99,2007,366700,12100,378800,800,94900,284700
all_households,percentiles_96_99,2008,340200,11500,351600,700,85100,267300
all_households,percentiles_96_99,2009,317400,12700,330100,800,77900,253000
all_households,percentiles_96_99,2010,326700,13200,339900,700,82300,258400
all_households,percentiles_96_99,2011,335300,12200,347500,800,83100,265200
all_households,percentiles_96_99,2012,350500,12700,363300,700,88500,275400
all_households,percentiles_96_99,2013,353000,13800,366800,700,94700,272800
all_households,percentiles_96_99,2014,365800,14600,380300,900,99800,281400
all_households,percentiles_96_99,2015,380900,14900,395900,1200,104000,293100
all_households,percentiles_96_99,2016,381500,15100,396600,1300,103900,294000
all_households,percentiles_96_99,2017,395200,15300,410400,1200,106400,305300
all_households,percentiles_96_99,2018,407800,15300,423100,1000,101500,322600
all_households,percentiles_96_99,2019,420900,15600,436600,1200,105400,332400
all_households,percentiles_96_99,2020,440100,15800,455900,3400,110200,349000
all_households,percentiles_96_99,2021,476000,16300,492300,2200,122300,372200
all_households,top_1_percent,1979,617300,6300,623600,200,212000,411900
all_households,top_1_percent,1980,591500,6400,597900,200,190900,407200
all_households,top_1_percent,1981,586600,7000,593600,300,173700,420200
all_households,top_1_percent,1982,621400,8100,629400,200,162400,467300
all_households,top_1_percent,1983,678600,8200,686800,200,179500,507500
all_households,top_1_percent,1984,747600,9700,757400,300,198600,559000
all_households,top_1_percent,1985,807100,10200,817300,300,208300,609300
all_households,top_1_percent,1986,1049900,10700,1060600,200,256400,804500
all_households,top_1_percent,1987,847200,9200,856300,300,253600,603000
all_households,top_1_percent,1988,1067100,8900,1076000,200,305100,771100
all_households,top_1_percent,1989,993700,8800,1002500,300,276600,726200
all_households,top_1_percent,1990,948000,9500,957500,300,261800,696100
all_households,top_1_percent,1991,854800,9500,864300,400,246600,618100
all_households,top_1_percent,1992,964600,9600,974200,200,285000,689400
all_households,top_1_percent,1993,922400,10300,932700,400,305900,627100
all_households,top_1_percent,1994,942900,9700,952600,400,324300,628700
all_households,top_1_percent,1995,1054700,10400,1065100,500,367500,698100
all_households,top_1_percent,1996,1170300,10300,1180600,300,407300,773600
all_households,top_1_percent,1997,1349600,10700,1360400,200,456100,904500
all_households,top_1_percent,1998,1535800,11000,1546800,400,497500,1049600
all_households,top_1_percent,1999,1670900,10300,1681200,300,543900,1137700
all_households,top_1_percent,2000,1844900,10700,1855600,400,593300,1262800
all_households,top_1_percent,2001,1468100,10200,1478300,500,469300,1009500
all_households,top_1_percent,2002,1298600,10800,1309500,600,413900,896200
all_households,top_1_percent,2003,1388000,10600,1398600,500,420800,978400
all_households,top_1_percent,2004,1663100,11000,1674100,500,498600,1176000
all_households,top_1_percent,2005,2011200,11600,2022800,500,607200,1416100
all_households,top_1_percent,2006,2178700,12000,2190700,600,649700,1541700
all_households,top_1_percent,2007,2296200,12300,2308500,600,647600,1661500
all_households,top_1_percent,2008,1861800,11700,1873500,700,521100,1353200
all_households,top_1_percent,2009,1454800,12400,1467100,800,417100,1050800
all_households,top_1_percent,2010,1671900,12500,1684400,900,487800,1197500
all_households,top_1_percent,2011,1675200,12200,1687300,1000,485300,1203000
all_households,top_1_percent,2012,2071100,13500,2084600,800,591000,1494500
all_households,top_1_percent,2013,1735600,13400,1749000,800,582000,1167800
all_households,top_1_percent,2014,1958500,13600,1972100,1200,655900,1317400
all_households,top_1_percent,2015,2033900,14300,2048200,1000,675100,1374100
all_households,top_1_percent,2016,1942000,14200,1956200,1500,640700,1317000
all_households,top_1_percent,2017,2091300,15200,2106500,1700,657700,1450500
